,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,object_id,Z,Z_err,EBV,SpecType,English Translation,split,target,M_r,M_i,M_z,npeak_r,npeak_i,npeak_z,r-i,i-z,M_u,M_g,M_y,g-r,u-r,i-y,t_g,t_r,t_i,t_z,t_nan,t_nan_new,temp_peak,temp_20d,temp_peakerr,temp_20derr,trise_g,trise_r,trise_i,trise_z,tfade_g,tfade_r,tfade_i,tfade_z,peak_time_u,peak_time_g,peak_time_r,peak_time_i,peak_time_z,peak_time_y,T_eb_0.0,Terr_eb_0.0,R_eb_0.0,Rerr_eb_0.0,Lbol_eb_0.0,Lbolerr_eb_0.0,T_eb_5.0,Terr_eb_5.0,R_eb_5.0,Rerr_eb_5.0,Lbol_eb_5.0,Lbolerr_eb_5.0,T_eb_10.0,Terr_eb_10.0,R_eb_10.0,Rerr_eb_10.0,Lbol_eb_10.0,Lbolerr_eb_10.0,T_eb_15.0,Terr_eb_15.0,R_eb_15.0,Rerr_eb_15.0,Lbol_eb_15.0,Lbolerr_eb_15.0,T_eb_20.0,Terr_eb_20.0,R_eb_20.0,Rerr_eb_20.0,Lbol_eb_20.0,Lbolerr_eb_20.0,T_eb_30.0,Terr_eb_30.0,R_eb_30.0,Rerr_eb_30.0,Lbol_eb_30.0,Lbolerr_eb_30.0,T_eb_40.0,Terr_eb_40.0,R_eb_40.0,Rerr_eb_40.0,Lbol_eb_40.0,Lbolerr_eb_40.0,u-g_eb_30.0,g-r_eb_30.0,r-i_eb_30.0,i-z_eb_30.0,u-g_eb_40.0,g-r_eb_40.0,r-i_eb_40.0,i-z_eb_40.0,x1_salt2,c_salt2,chisq_salt2,redchisq_salt2,dps_3sigma,dt_5sigma,dps_halfmax,ESN
0,0,0,0,0,0,0,0,0,0,0,0,Dornhoth_fervain_onodrim,3.049,,0.11,AGN,Trawn Folk (Dwarfs) + northern + Ents (people) ,split_01,0,-24.52157418934221,-25.292052942386455,-25.33972754451151,1.0,1.0,1.0,0.7704787530442445,0.0476746021250562,-23.182990968345894,-22.054811206126622,-23.37925947587555,2.466762983215588,1.3385832209963162,-1.9127934665109052,196.1262521454555,27.198336674191523,29.133815537235932,72.29944225741929,,,28809.37434115167,5596.257497848998,3148.1422496453742,743.3651485502618,116.27866432305018,15.778316263931629,14.6770054994995,36.96764166763751,79.84772989682824,11.419983356150624,14.456790423239,35.33222166967607,,,63774.57521711712,63769.191810810815,,,20460.0,699.1,9170000000000000.0,590900000000000.0,1.051e+26,1.198e+24,22240.0,1808.0,3871000000000000.0,637700000000000.0,2.613e+25,1.625e+24,25740.0,4800.0,1936000000000000.0,749000000000000.0,1.172e+25,2.235e+24,27480.0,5453.0,1279000000000000.0,496000000000000.0,6.647e+24,1.118e+24,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.2978779026320536e-30,-4.326259675440178e-31,16.0,189.24109999999928,2.0,0.6694281719836169
1,1,1,1,1,1,1,1,1,1,1,1,Dornhoth_galadh_ylf,0.4324,,0.058,SN II,Trawn Folk (Dwarfs) + tree + drinking vessel ,split_01,0,-18.587774939862385,-19.27382169056466,-19.575142052850538,1.0,1.0,1.0,0.6860467507022747,0.3013203622858782,-17.27843792536993,-17.244307288785222,-20.080631358906885,1.3434676510771624,1.3093370144924563,0.8068096683422255,588.5231552340265,43.178115143258765,41.57438112876844,67.52433018995362,,,11073.821423237869,10148.587309244022,3555.4261359038037,3774.073502816444,259.0477957143594,16.652025734052586,15.430425833816116,22.575486816516783,329.4761829516938,26.526088885562785,26.14395529698959,44.94884448135417,,,,,,,4762.0,154.0,8962000000000000.0,824700000000000.0,2.943e+23,1.789e+22,4705.0,215.0,8712000000000000.0,1239000000000000.0,2.6499999999999997e+23,2.929e+22,4569.0,294.7,8486000000000000.0,1876000000000000.0,2.237e+23,4.292e+22,4351.0,345.5,8944000000000000.0,2545000000000000.0,2.043e+23,5.29e+22,4190.0,378.9,9437000000000000.0,3026000000000000.0,1.955e+23,5.656e+22,3756.0,335.9,1.218e+16,3839000000000000.0,2.103e+23,5.843e+22,4099.0,503.0,8416000000000000.0,3416000000000000.0,1.4249999999999998e+23,4.698e+22,,,,,,,,,2.27329560807522,0.7321541946931743,147.15361862956132,13.377601693596484,16.0,87.29710000000341,2.0,0.5561737604543473
2,2,2,2,2,2,2,2,2,2,2,2,Elrim_melethril_thul,0.4673,,0.577,AGN,Elves +  lover (fem.)  + breath,split_01,0,-20.198119486278443,-20.459712726081666,-20.41744365136445,0.0,0.0,1.0,0.2615932398032221,-0.0422690747172147,-18.90824552686314,-19.913610201040157,-20.29445927582347,0.2845092852382862,1.2898739594153028,-0.165253450258195,0.0,0.0,0.0,0.0,,,,,,,-99.0,-99.0,308.31500164267345,414.83650754495466,175.15466971531714,231.13283975685772,-99.0,-99.0,,63952.5791,63957.90305895896,63997.55488728729,64032.230124524525,,5515.0,132.4,6279000000000000.0,444900000000000.0,2.599e+23,1.362e+22,5484.0,133.4,6344000000000000.0,442000000000000.0,2.594e+23,1.274e+22,5462.0,135.6,6369000000000000.0,441000000000000.0,2.5719999999999995e+23,1.197e+22,5446.0,138.9,6362000000000000.0,443500000000000.0,2.537e+23,1.1429999999999998e+22,5436.0,144.1,6326000000000000.0,452900000000000.0,2.4909999999999995e+23,1.125e+22,5434.0,163.5,6173000000000000.0,504000000000000.0,2.3679999999999997e+23,1.241e+22,5446.0,193.7,5954000000000000.0,587000000000000.0,2.222e+23,1.4749999999999998e+22,,,,,,,,,21888.161538754703,0.3816850168031975,995.318632479944,47.39612535618782,30.0,1093.2284,13.0,0.3180905239759225
3,3,3,3,3,3,3,3,3,3,3,3,Ithil_tobas_rodwen,0.6946,,0.012,AGN,moon +  roof  +  noble maiden,split_01,0,-18.91104926523571,-19.05705753281429,-19.22867271706142,8.0,10.0,6.0,0.1460082675785798,0.1716151842471305,-17.551369611723707,-18.51674498482938,-18.749187844240844,0.394304280406331,1.3596796535120037,-0.3078696885734473,456.1004653808268,239.31896278542263,475.6323474236051,320.1550025648685,,,157.24915671224412,15274.839689388777,inf,1678.9034986390184,301.612613651625,108.68878259828487,341.1907454448374,137.21214055008022,154.48783726554393,130.63017653120914,134.44160357519286,182.94268030837705,,62236.20487237237,62947.60426726727,62960.22194864865,62272.61587547547,,9638.0,301.4,1914000000000000.0,124600000000000.0,2.251e+23,5.534999999999999e+21,9642.0,323.5,1976000000000000.0,140600000000000.0,2.405e+23,6.705e+21,9611.0,388.0,2050000000000000.0,177700000000000.0,2.555e+23,8.953999999999998e+21,9506.0,496.7,2149000000000000.0,240800000000000.0,2.686e+23,1.2319999999999998e+22,9394.0,626.6,2243000000000000.0,319400000000000.0,2.79e+23,1.638e+22,9252.0,895.8,2356000000000000.0,483700000000000.0,2.8969999999999997e+23,2.4809999999999997e+22,9195.0,1142.0,2370000000000000.0,621800000000000.0,2.862e+23,3.154e+22,,,,,,,,,16.618098689730857,-0.3229808579087655,4961.563259118207,29.709959635438363,175.0,1813.001400000001,7.0,0.3062564353417566
4,4,4,4,4,4,4,4,4,4,4,4,Mirion_adar_Druadan,0.4161,,0.058,AGN," jewel, Silmaril  + father + Wild Man ",split_01,0,-18.05637401940765,-18.1863791656965,-18.25381784787208,1.0,1.0,1.0,0.1300051462888518,0.067438682175581,-16.728207909318066,-17.87974872209505,-17.806084606751632,0.1766252973125972,1.3281661100895832,-0.3802945589448683,441.75510889194993,489.0531915911997,113.45076013538346,295.4201958923368,,,24506.941143760283,133.91868717488572,14466.47911494637,inf,167.06623466544988,370.7141760713057,49.96793206250731,113.55954425098024,274.6888626055297,118.33910884855868,63.482880946743535,181.8606400954377,,62253.2036028028,62143.694485385386,62579.94,,,7940.0,472.8,1265000000000000.0,164100000000000.0,4.536e+22,2.05e+21,7929.0,479.2,1265000000000000.0,166600000000000.0,4.503e+22,2.07e+21,7916.0,486.4,1264000000000000.0,169500000000000.0,4.4709999999999994e+22,2.0969999999999995e+21,7904.0,494.5,1264000000000000.0,172700000000000.0,4.44e+22,2.1289999999999995e+21,7891.0,503.3,1264000000000000.0,176200000000000.0,4.411e+22,2.1669999999999995e+21,7864.0,523.3,1264000000000000.0,184200000000000.0,4.355e+22,2.2559999999999995e+21,,,,,,,,,,,,,,,3.146994612243767,-0.3732438445837215,1503.294249123761,50.109808304125366,34.0,2109.5313000000024,1.0,0.13312108706501408
5,5,5,5,5,5,5,5,5,5,5,5,Mirion_lalaith_neledh,1.197,,0.054,AGN," jewel, Silmaril  + laughter + enter, go in ",split_01,0,-20.663024471456215,-20.7230358015536,-20.69040459188347,3.0,4.0,4.0,0.0600113300973852,-0.0326312096701286,-19.33596250689927,-20.17162904248699,-20.979942896616,0.4913954289692235,1.3270619645569433,0.2569070950623988,0.0,525.5413866931922,548.6285126917574,1065.7758583114555,,,156.6808685095556,1064.389553851042,inf,inf,265.86839188836166,261.60942963957496,369.8444559773925,378.8518208840251,-99.0,263.93195961286983,178.7840499803715,686.9240031293812,,64601.4834,63331.985326226226,63446.8125022022,64549.0341,,40000.0,241900.0,89630000000000.0,518200000000000.0,1.465e+23,1.864e+24,40000.0,255500.0,89630000000000.0,545700000000000.0,1.465e+23,1.9739999999999996e+24,40000.0,270400.0,89630000000000.0,576100000000000.0,1.465e+23,2.093e+24,40000.0,286300.0,89630000000000.0,608700000000000.0,1.465e+23,2.22e+24,40000.0,303000.0,89630000000000.0,643200000000000.0,1.465e+23,2.353e+24,40000.0,338600.0,89630000000000.0,717700000000000.0,1.465e+23,2.633e+24,40000.0,376400.0,89630000000000.0,798400000000000.0,1.465e+23,2.925e+24,,,,,,,,,1.140736523091628,-0.382184745314955,1513.3245769839257,37.83311442459814,61.0,1599.7019999999975,14.0,0.05675839283272856
6,6,6,6,6,6,6,6,6,6,6,6,Rochirrim_lebdas_pethron,0.1806,,0.153,SN Ib,Horse.Lords (People)  +   index finger  + narrator,split_01,0,-15.906458350407156,-16.379987528876136,-16.031975427013826,1.0,1.0,3.0,0.4735291784689792,-0.3480121018623094,-14.76265851783159,-14.989177313380589,-15.940639957919707,0.9172810370265676,1.1437998325755672,-0.4393475709564285,28.803925135209283,64.71784794639098,60.59359339783987,135.2302048399506,,,8239.758896979272,6171.474660227166,1198.3531629694446,1262.5097877673204,14.479587988440471,35.95571604456927,30.81237543293537,77.6186624120237,14.32432492548105,28.76213847820327,29.78123821295594,57.611355132292374,,,63601.27748148149,63641.524693093095,,,4436.0,220.4,1837000000000000.0,258400000000000.0,9.316e+21,8.319e+20,4375.0,236.3,1846000000000000.0,288700000000000.0,8.9e+21,9.255e+20,4292.0,257.6,1884000000000000.0,336200000000000.0,8.58e+21,1.069e+21,4203.0,284.8,1939000000000000.0,400300000000000.0,8.362e+21,1.2539999999999995e+21,4134.0,319.9,1978000000000000.0,474600000000000.0,8.138999999999999e+21,1.461e+21,4070.0,411.6,1957000000000000.0,627500000000000.0,7.49e+21,1.857e+21,4083.0,522.2,1827000000000000.0,746200000000000.0,6.610999999999999e+21,2.1049999999999995e+21,,,,,,,,,3.678763266840082,0.9084562093933976,45.514427002298646,3.5011097694075883,20.0,83.34590000000026,15.0,0.38102663219274807
7,7,7,7,7,7,7,7,7,7,7,7,acharn_lend_Mithrim,0.1887,,0.051,AGN,"vengeance + journey, way + Sindar",split_01,0,-17.986340738034954,-17.74396704899884,-17.59292323591967,1.0,1.0,3.0,-0.2423736890361141,-0.1510438130791698,-16.728957432779964,-17.146924226024197,-18.098616473224183,0.8394165120107573,1.25738330525499,0.354649424225343,297.281088547883,0.0,0.0,210.52689868597372,,,7368.960229054298,7386.093552423781,1492.6556580158,1518.3620449171328,176.45788578048086,75.64719772540411,48.66913343234046,115.34895384109404,120.82321261492324,-99.0,-99.0,95.1779445689972,61616.659685385384,61586.30084074074,62451.4397,62408.8897,61598.81917807808,62461.1101,7728.0,577.3,1541000000000000.0,184700000000000.0,6.032999999999999e+22,4.587e+21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.166642575904543,0.216456598568335,10903.361989635869,175.86067725219144,76.0,1193.3341,22.0,0.3336104260995622
8,8,8,8,8,8,8,8,8,8,8,8,achas_iar_gaur,1.238,,0.046,AGN,achas + blood + werewolf,split_01,0,-19.83757636226353,-18.862531222125433,-20.001991502864364,7.0,1.0,1.0,-0.9750451401380964,1.1394602807389305,-17.126032447367116,-17.098771660605244,,2.7388047016582853,2.7115439148964136,,0.0,0.0,5.216439409996383,54.66047847131267,,,13206.81369126212,700.9757304104904,4442.079508557468,inf,-99.0,445.1154936466919,3.358212773644482,26.624150807569094,0.9447754254288157,-99.0,1.8582288584220803,28.036309818795417,,,62983.01095045045,,,,9000.0,1994.0,1000000000000000.0,6.173e-09,4.675e+22,4.143e+22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3767450265393753,-0.1606129728621721,545.28884180001,30.293824544445,24.0,1475.1064000000042,3.0,0.5666892342138782
9,9,9,9,9,9,9,9,9,9,9,9,aduial_nur_luith,2.201,,0.012,AGN,"evening, twilight  + race + spell",split_01,0,-21.595781127903116,-21.59625301589724,-21.81392361280391,2.0,2.0,1.0,0.0004718879941236,0.2176705969066716,-21.038428501343667,-21.251805145793845,-21.0267993935984,0.3439759821092707,0.5573526265594495,-0.5694536222988411,615.3434985798522,946.2437634561792,796.4669997566598,462.5588194034571,,,29587.458854659555,29375.758105435732,1704.313708877019,1686.6841006097936,295.49096794673824,568.2674681759163,379.3187275906166,226.550047115903,319.8525006568452,377.9763054580326,417.1482433063138,236.00872217954748,,,62972.047,,,,9000.0,63300.0,1000000000000000.0,2.376e+16,4.675e+22,9.308e+23,9000.0,68420.0,1000000000000000.0,2.556e+16,4.675e+22,9.955e+23,9000.0,74540.0,1000000000000000.0,2.772e+16,4.675e+22,1.073e+24,9000.0,81530.0,1000000000000000.0,3.019e+16,4.675e+22,1.161e+24,9000.0,89290.0,1000000000000000.0,3.293e+16,4.675e+22,1.2579999999999998e+24,9000.0,106800.0,1000000000000000.0,3.911e+16,4.675e+22,1.4789999999999998e+24,9000.0,126500.0,1000000000000000.0,4.61e+16,4.675e+22,1.729e+24,0.1159999999999996,0.1700000000000017,0.1539999999999999,0.125,0.1159999999999996,0.1700000000000017,0.1539999999999999,0.125,-0.7543914672215186,-0.4681292986153244,29.270619706310157,7.317654926577539,22.0,1858.0103000000015,18.0,0.5712126303824661
