,M_u_-10d,M_u_0d,M_u_10d,M_u_20d,M_u_30d,M_u_40d,M_g_-10d,M_g_0d,M_g_10d,M_g_20d,M_g_30d,M_g_40d,M_r_-10d,M_r_0d,M_r_10d,M_r_20d,M_r_30d,M_r_40d,M_i_-10d,M_i_0d,M_i_10d,M_i_20d,M_i_30d,M_i_40d,M_z_-10d,M_z_0d,M_z_10d,M_z_20d,M_z_30d,M_z_40d,M_y_-10d,M_y_0d,M_y_10d,M_y_20d,M_y_30d,M_y_40d,object_id,i-y_new,r-i_new
0,-23.97315130826768,-24.063478528959685,-22.61609804730964,-21.74980423032465,-21.95110073470787,-21.787693884570693,-24.250066800888796,-24.45560328953359,-23.486769830489855,-22.638579350884974,-22.40051467638124,-22.082803611690643,-24.52375159990857,-24.850553724019115,-24.130399291232617,-23.2682629391903,-22.78278845312,-22.33415505531423,-24.68008434194622,-25.0845435058422,-24.438474180198135,-23.55606369943701,-22.96679573932733,-22.45198790343111,-24.738972792468836,-25.168025684801655,-24.560429281717397,-23.623850930704045,-23.014204189660056,-22.480598307354093,-24.73102302282448,-25.137220214812565,-24.581332245337485,-23.6059574490915,-22.98810127463843,-22.456526836914385,Dornhoth_fervain_onodrim,0.049883550032589596,0.22512839384009453
1,-16.64857832285489,-15.261235470048874,,,,,-17.686365046911234,-17.361724034056493,-16.090853230633343,,,,-18.554215987021426,-18.5500077211164,-18.163539906782347,-17.626294799589033,-17.18514050621819,-16.701378343560066,-19.104001965939688,-19.206493895106632,-19.000265245663897,-18.68741987801539,-18.419870391466432,-18.19797070683704,-19.39449824679612,-19.53813129494901,-19.397077452926993,-19.155834587223424,-18.936169278249068,-18.7701785401635,-19.523030353515495,-19.675971459180506,-19.57295433887269,-19.375220983494287,-19.180069637511124,-19.016182804447737,Dornhoth_galadh_ylf,0.4587478806373184,0.608543619867234
2,,,,,,,-17.567939009213504,-17.50143681995094,-17.45177694669148,-17.41916658989662,-17.40194568698672,-17.397351045238267,-18.71092013951423,-18.707906337087863,-18.704062546805375,-18.698520606947422,-18.690838985118617,-18.68088406377541,-19.314363628896388,-19.316314503802616,-19.312568276463196,-19.30284291700964,-19.288026061224613,-19.269154409400315,-19.580453627698077,-19.583026019113163,-19.579525197067255,-19.569858578736785,-19.55488624968048,-19.535484531376028,-19.648117068595937,-19.65004656736457,-19.64765117332628,-19.640905456234137,-19.62995268542535,-19.615055635766325,Elrim_melethril_thul,0.3336906317719155,0.5522487211404865
3,-18.098951874108455,-18.17355610799617,-18.222800242740313,-18.24907402189566,-18.255633435372935,-18.24529554259345,-18.57011515503492,-18.606143676869557,-18.6211722900345,-18.619392664049123,-18.603583408408102,-18.575752661359964,-18.913141524037577,-18.9287760651142,-18.928844753617817,-18.914839402717412,-18.88868583884625,-18.852260430321785,-19.05511808204377,-19.06959414612266,-19.066822737600027,-19.04978157819705,-19.021068958444022,-18.982844169836717,-19.104220673888484,-19.111834798761485,-19.104458138541084,-19.084821444469604,-19.05514208477523,-19.01725844875336,-19.063243141682356,-19.07187232597807,-19.066314734527985,-19.049136869417417,-19.022469207876675,-18.98807360504474,Ithil_tobas_rodwen,0.0014758983535614334,0.13975258650793876
4,-16.952257916572115,-16.972916900787034,-16.99991551558228,-17.027315355852444,-17.047890781517857,-17.056870755542185,-17.379675096096996,-17.401163668234183,-17.430266712258565,-17.45755800153119,-17.47308907555486,-17.467735241120515,-17.816366028073965,-17.828738965852942,-17.8324507868333,-17.824470861824985,-17.796428206285192,-17.74591529235719,-17.981926752889414,-17.989691251738343,-17.980688678831704,-17.951453158452715,-17.90090507144604,-17.828783281572534,-17.943760318349582,-17.94121422500931,-17.928116216305177,-17.89907660704535,-17.849776031098962,-17.78030315240128,-17.838103658800613,-17.827744075607704,-17.8081890220025,-17.776935358871803,-17.731934902097457,-17.67251465768171,Mirion_adar_Druadan,-0.1485542819205392,0.15724046490504406
5,-19.998121232202244,-19.990305676637867,-19.978826913116812,-19.963692130307315,-19.944958808046746,-19.92274243635857,-20.2775322441316,-20.27163223202752,-20.261442682394023,-20.246818438099716,-20.22770294035511,-20.20416171153277,-20.537994398607047,-20.538023328593844,-20.53419092458224,-20.525958004104147,-20.51264954287543,-20.493652230324464,-20.62113321358428,-20.622244403327507,-20.62125944287973,-20.618214362676632,-20.613249519807248,-20.60659236669779,-20.61331926556455,-20.61547326489677,-20.6166087240618,-20.616752720578457,-20.61593835336685,-20.614196635758695,-20.5563680167352,-20.558426096757508,-20.559707137679432,-20.560188663163764,-20.55984514467962,-20.558646082320216,Mirion_lalaith_neledh,-0.062052506981672195,0.0837821759667321
6,-13.33173163793358,-12.299519206731269,,,,,-14.661557992658466,-14.439084004809182,-14.076292383649497,-13.445215735372123,-12.154296980998376,,-15.569051214428718,-15.530328341635276,-15.425173310553127,-15.22624298648585,-14.92412663277566,-14.563204906556573,-15.9724859711392,-15.990247939197497,-15.950680097049435,-15.831171942975864,-15.642914859886991,-15.400961861798727,-16.07122232075225,-16.089151546661334,-16.065466377156916,-15.990261391214284,-15.861367308981734,-15.68063963575235,-16.040868212201325,-16.05400870299122,-16.034107494550902,-15.975711728359236,-15.8750522162132,-15.730165340088083,Rochirrim_lebdas_pethron,0.0636437502427043,0.41906228126244116
7,-17.418960526948993,-17.449231283056776,,,,,-17.639552379956015,-17.66302721160507,,,,,-17.847019758655904,-17.865044225462654,,,,,-17.941000420056227,-17.960053338966887,,,,,-17.96816445570238,-17.987953010626015,,,,,-17.945092857862036,-17.964609283362904,,,,,acharn_lend_Mithrim,0.004555944396017253,0.0950091135042328
8,-18.020202466229826,-18.029494643605453,-18.03591061253598,-18.039404082663985,-18.03992772513076,-18.037431454223217,-19.07101724282665,-19.07069933179782,-19.067723512020528,-19.06203004731875,-19.053551911597573,-19.042214745744353,-19.44272425239425,-19.443449774674697,-19.442691120771578,-19.43996757238761,-19.434768023086995,-19.42654495795951,-16.19964924132683,-16.009081125242766,-15.783181041891062,-15.514202752457656,-15.181811596003447,-14.736889404420944,,,,,,,,,,,,,achas_iar_gaur,-1.8953131207368017,-1.2492681113232322
9,-21.04891613269833,-21.051315797664408,-21.053126897291655,-21.05432995105533,-21.054916516569683,-21.054880540064183,-21.236755391023912,-21.239004807888456,-21.24062925567332,-21.24161775338255,-21.241953422531505,-21.24162143779359,-21.446781007821738,-21.447328992052995,-21.44708252663495,-21.4461412096832,-21.444534785549628,-21.44226594231781,-21.559462657843618,-21.559014010641658,-21.557694441275903,-21.555533358755703,-21.552540963067408,-21.5487229060791,-21.573105902313937,-21.57363116220332,-21.573030303060584,-21.571243608569752,-21.568224864803103,-21.564019248402268,-21.507401159437016,-21.508084731006697,-21.507714636411485,-21.50627630274358,-21.503768251929166,-21.50021254308883,aduial_nur_luith,-0.05136707044543698,0.11212339651414993
